Date,BTC,ETH,BNB,SOL,TRX
12/4/2020,18699.76563,569.354187,29.0722084,1.855952978,0.029553
12/5/2020,19154.23047,596.595459,29.72948837,1.978773952,0.030572001
12/6/2020,19345.12109,601.9089966,29.54080391,1.854249001,0.030925
12/7/2020,19191.63086,591.8433838,29.37813568,1.831172943,0.030316999
12/8/2020,18321.14453,554.8277588,27.63630676,1.665351987,0.027849
12/9/2020,18553.91602,573.479126,28.12930489,1.662304044,0.02871
12/10/2020,18264.99219,559.6785278,27.69618988,1.574151039,0.028146001
12/11/2020,18058.9043,545.7973633,27.36100388,1.444584966,0.027819
12/12/2020,18803.65625,568.5673218,28.1644516,1.490911961,0.028572001
12/13/2020,19142.38281,589.663208,29.1016922,1.565456033,0.029184001
12/14/2020,19246.64453,586.0111694,30.02957726,1.591645956,0.029088
12/15/2020,19417.07617,589.3555908,29.54728317,1.76067102,0.029206
12/16/2020,21310.59766,636.1818237,30.49019432,1.783597946,0.031176001
12/17/2020,22805.16211,642.8689575,30.18413353,1.678634048,0.030708
12/18/2020,23137.96094,654.8119507,30.93836021,1.698799968,0.031113001
12/19/2020,23869.83203,659.2979126,33.2963562,1.668650985,0.031289998
12/20/2020,23477.29492,638.2908325,34.16029739,1.563575983,0.031225
12/21/2020,22803.08203,609.8178711,32.26952744,1.541915059,0.029379999
12/22/2020,23783.0293,634.854187,33.4829483,1.490285993,0.028894
12/23/2020,23241.3457,583.7145996,31.09789848,1.205692053,0.02482
12/24/2020,23735.94922,611.6071777,32.50059128,1.362408042,0.027697001
12/25/2020,24664.79102,626.4107056,33.16497421,1.44540298,0.028496999
12/26/2020,26437.03711,635.8358154,33.47713852,1.324237943,0.027737999
12/27/2020,26272.29492,682.642334,33.51184845,1.303042054,0.028845999
12/28/2020,27084.80859,730.3973389,35.84455872,1.515684962,0.029532
12/29/2020,27362.4375,731.5201416,38.95283127,1.674345016,0.027690001
12/30/2020,28840.95313,751.6189575,38.13629913,1.535457015,0.026945001
12/31/2020,29001.7207,737.8034058,37.37603378,1.510897994,0.026833
1/1/2021,29374.15234,730.3675537,37.90501022,1.84208405,0.026939999
1/2/2021,32127.26758,774.5349731,38.24159241,1.799275041,0.027218999
1/3/2021,32782.02344,975.5076904,41.14897919,2.161751986,0.029495001
1/4/2021,31971.91406,1040.233032,40.92635345,2.485096931,0.030853
1/5/2021,33992.42969,1100.006104,41.73460007,2.157217026,0.028632
1/6/2021,36824.36328,1207.112183,42.16595459,1.929216981,0.030515
1/7/2021,39371.04297,1225.678101,43.44948959,2.372745037,0.031067999
1/8/2021,40797.60938,1224.197144,42.39531708,3.219887018,0.030613
1/9/2021,40254.54688,1281.077271,43.9328537,3.385381937,0.034026001
1/10/2021,38356.44141,1262.246704,42.44847488,3.466110945,0.032935001
1/11/2021,35566.65625,1090.145386,38.37136078,3.108089924,0.028963
1/12/2021,33922.96094,1043.43457,38.11161041,3.613398075,0.028558001
1/13/2021,37316.35938,1130.73938,40.13593292,3.513782024,0.030196
1/14/2021,39187.32813,1218.453003,41.7936821,3.27816391,0.03001
1/15/2021,36825.36719,1171.834595,40.91897964,3.250160933,0.029789999
1/16/2021,36178.14063,1233.537598,43.17182541,3.447055101,0.030153001
1/17/2021,35791.27734,1230.172241,45.68461227,3.818139076,0.030141
1/18/2021,36630.07422,1257.279541,45.3531723,3.79551506,0.031617999
1/19/2021,36069.80469,1377.295898,42.78553391,3.641865969,0.030792
1/20/2021,35547.75,1382.274048,42.60689926,3.723577976,0.030507
1/21/2021,30825.69922,1121.570923,38.64583969,2.990535975,0.027704
1/22/2021,33005.76172,1236.512207,40.85757065,3.346229076,0.028638
1/23/2021,32067.64258,1230.990601,40.81547928,3.504112005,0.029186999
1/24/2021,32289.37891,1391.609375,41.88160706,3.634411097,0.03002
1/25/2021,32366.39258,1324.414795,41.623703,3.699980974,0.029557999
1/26/2021,32569.84961,1357.058105,41.69473648,4.04734993,0.029513
1/27/2021,30432.54688,1253.187134,40.99487686,3.690587044,0.028325001
1/28/2021,33466.09766,1332.492188,42.52910614,3.822072029,0.029648
1/29/2021,34316.38672,1382.522827,42.85234833,3.834676027,0.033296
1/30/2021,34269.52344,1376.115479,44.77227783,4.224276066,0.032028001
1/31/2021,33114.35938,1314.986206,44.27599335,4.264143944,0.031603001
2/1/2021,33537.17578,1369.040527,51.60769653,4.61160183,0.032926999
2/2/2021,35510.28906,1515.193726,51.05640411,5.26750803,0.033153001
2/3/2021,37472.08984,1660.909546,52.24263763,5.715990067,0.034439001
2/4/2021,36926.06641,1594.762695,55.92512512,6.426064968,0.033174001
2/5/2021,38144.30859,1718.650879,67.8455658,6.68171978,0.036256
2/6/2021,39266.01172,1677.846802,72.7335968,6.110806942,0.035106
2/7/2021,38903.44141,1614.227783,68.59052277,6.700462818,0.035971999
2/8/2021,46196.46484,1746.616821,79.83154297,7.883250237,0.040546
2/9/2021,46481.10547,1768.035034,107.8992767,7.816792965,0.046034001
2/10/2021,44918.18359,1744.243408,129.7371521,9.072214127,0.046188999
2/11/2021,47909.33203,1783.797974,124.4342575,9.215352058,0.057064001
2/12/2021,47504.85156,1843.532593,136.9483948,9.247012138,0.055321999
2/13/2021,47105.51563,1814.109863,133.4526825,8.732455254,0.059615999
2/14/2021,48717.28906,1805.084106,136.4265137,8.73889637,0.055544
2/15/2021,47945.05859,1779.791016,129.5678864,8.861739159,0.050746001
2/16/2021,49199.87109,1781.067505,130.0566559,8.297866821,0.052173998
2/17/2021,52149.00781,1848.458252,164.670105,8.222577095,0.052604001
2/18/2021,51679.79688,1937.449219,195.9326324,8.980451584,0.054988999
2/19/2021,55888.13281,1960.164795,332.6160278,11.46565342,0.06103
2/20/2021,56099.51953,1919.534058,255.9537354,10.00266361,0.058040999
2/21/2021,57539.94531,1935.601074,293.923584,11.08551311,0.059468001
2/22/2021,54207.32031,1781.99292,267.5097961,14.45478535,0.054375999
2/23/2021,48824.42578,1570.203979,230.9942474,15.20153809,0.04479
2/24/2021,49705.33203,1626.575684,254.3591309,17.30270767,0.048028
2/25/2021,47093.85156,1475.703735,233.8859558,13.81601429,0.045205001
2/26/2021,46339.76172,1446.033691,221.6804352,13.58794117,0.045173001
2/27/2021,46188.45313,1459.973145,225.2494354,13.20116806,0.046606001
2/28/2021,45137.76953,1416.04895,209.5744019,13.08924675,0.045646999
3/1/2021,49631.24219,1564.707642,254.6299286,14.95558834,0.047818001
3/2/2021,48378.98828,1492.608765,239.5225372,13.95892143,0.046849001
3/3/2021,50538.24219,1575.853149,241.0913696,14.11559105,0.049082
3/4/2021,48561.16797,1541.914307,229.9450684,13.09798336,0.051380001
3/5/2021,48927.30469,1533.275024,226.3725586,12.61044312,0.050269
3/6/2021,48912.38281,1654.741577,226.6668549,13.03645802,0.05029
3/7/2021,51206.69141,1723.153809,240.1792145,13.87773228,0.051722001
3/8/2021,52246.52344,1834.727905,240.3186646,13.60218811,0.052813001
3/9/2021,54824.11719,1868.048828,293.4632263,14.84631062,0.053173002
3/10/2021,56008.55078,1799.16626,279.3580322,14.23108387,0.051516999
3/11/2021,57805.12109,1826.194946,289.790802,15.99227905,0.051506002
3/12/2021,57332.08984,1772.102417,263.6858215,14.55214214,0.050042
3/13/2021,61243.08594,1924.685425,276.1047058,15.3088026,0.052815001
3/14/2021,59302.31641,1854.564331,264.6367493,14.50826645,0.051300999
3/15/2021,55907.19922,1791.702271,254.6608276,14.18666172,0.050840002
3/16/2021,56804.90234,1806.971802,258.1006775,13.62277317,0.052297
3/17/2021,58870.89453,1823.449341,269.8548584,14.2202034,0.054974999
3/18/2021,57858.92188,1782.855103,261.7048035,14.23002529,0.053578001
3/19/2021,58346.65234,1817.624146,264.0574341,14.20479584,0.058793001
3/20/2021,58313.64453,1812.634644,264.7416687,14.21198082,0.061080001
3/21/2021,57523.42188,1788.217041,264.8861694,14.33220577,0.063295998
3/22/2021,54529.14453,1691.333984,255.9001923,14.9192934,0.059764002
3/23/2021,54738.94531,1678.650146,255.6896667,14.20483112,0.05883
3/24/2021,52774.26563,1593.413452,249.8513794,13.6612978,0.056079
3/25/2021,51704.16016,1595.359253,234.885437,13.02508545,0.055622
3/26/2021,55137.3125,1702.842041,255.1045685,14.77942085,0.064900003
3/27/2021,55973.51172,1716.494629,269.1023254,16.50832176,0.063790001
3/28/2021,55950.74609,1691.355957,269.1912842,18.01623344,0.063562997
3/29/2021,57750.19922,1819.684937,275.2146301,18.85480881,0.064791001
3/30/2021,58917.69141,1846.033691,311.4264832,19.23392487,0.066086002
3/31/2021,58918.83203,1918.362061,302.063446,19.46522903,0.092312001
4/1/2021,59095.80859,1977.276855,335.2128906,19.08490181,0.086120002
4/2/2021,59384.3125,2143.225586,339.0077209,19.81022263,0.092551999
4/3/2021,57603.89063,2028.422485,323.1335144,22.55227661,0.102072001
4/4/2021,58758.55469,2093.122803,351.6243896,24.06132317,0.129372999
4/5/2021,59057.87891,2107.887207,367.7724915,22.98428345,0.136724994
4/6/2021,58192.35938,2118.378906,403.5907593,24.95714569,0.124374002
4/7/2021,56048.9375,1971.077271,374.6588135,26.47808075,0.110281996
4/8/2021,58323.95313,2088.57373,418.0383911,27.03398705,0.123070002
4/9/2021,58245.00391,2072.108887,453.1784668,27.77827454,0.115933999
4/10/2021,59793.23438,2135.942139,472.5603333,26.84140396,0.125983
4/11/2021,60204.96484,2157.656982,525.3855591,27.93189049,0.122353002
4/12/2021,59893.45313,2139.353271,598.7226563,28.51212311,0.129048005
4/13/2021,63503.45703,2299.187744,549.5865479,27.4355526,0.146298006
4/14/2021,63109.69531,2435.10498,549.5918579,26.47511101,0.140694007
4/15/2021,63314.01172,2519.116211,542.6320801,27.8183136,0.164649993
4/16/2021,61572.78906,2431.946533,510.2201843,25.39736557,0.162089005
4/17/2021,60683.82031,2344.89502,520.416748,25.0998745,0.157435
4/18/2021,56216.18359,2237.136963,481.0342407,32.30291748,0.142878994
4/19/2021,55724.26563,2166.188721,505.092926,31.67589569,0.130238995
